Product_ID;SKU_Code;Product_Name;Merchant_Name ;Product_Currency;Recommended_Retail_Price_with_VAT_(Resellers currency);category_id
6018;6.297E+12;FRiENDi Aqua GB 10- 3 months ; FRiENDi mobile ;SAR;115;
6708;6.297E+12;FRiENDi Aqua Voucher SR 15; FRiENDi mobile ;SAR;15;
6101;6.297E+12;FRiENDi Aqua GB 1.5 - 30 Days; FRiENDi mobile ;SAR;30;
6015;6.297E+12;FRiENDi Aqua Voucher SR 20; FRiENDi mobile ;SAR;20;
6017;6.297E+12;FRiENDi Aqua Voucher SR 100; FRiENDi mobile ;SAR;100;
6105;6.297E+12;FRiENDi Aqua Voucher SR 30; FRiENDi mobile ;SAR;30;
6016;6.297E+12;FRiENDi Aqua Voucher SR 50; FRiENDi mobile ;SAR;50;
6379;6.28701E+12;Lebara Recharge Voucher - SAR 20; Lebara ;SAR;20;
6384;6.28701E+12;Lebara Recharge Voucher - SAR 345; Lebara ;SAR;345;
5948;6.28701E+12;Lebara Data 10 GB for 3 Months; Lebara ;SAR;130;
6556;6.28701E+12;Lebara Data 50 GB for 3 Months; Lebara ;SAR;290;
5947;6.28701E+12;Lebara Data 3 GB 45days; Lebara ;SAR;55;
6381;6.28701E+12;Lebara Recharge Voucher - SAR 60; Lebara ;SAR;60;
6554;6.28701E+12;Lebara Data 5 GB 45days; Lebara ;SAR;70;
6141;6.28701E+12;Lebara Data 1 GB for 1Month; Lebara ;SAR;25;
6555;6.28701E+12;Lebara Data 10 GB for 1 Month; Lebara ;SAR;105;
6557;6.28701E+12;Lebara Data 100 GB for 3 Months; Lebara ;SAR;365;
6383;6.28701E+12;Lebara Recharge Voucher - SAR 230; Lebara ;SAR;230;
6380;6.28701E+12;Lebara Recharge Voucher - SAR 30; Lebara ;SAR;30;
6382;6.28701E+12;Lebara Recharge Voucher - SAR 115; Lebara ;SAR;115;
5750;2.00501E+11;Mobily Data recharge 2 GB - 1 Month; Mobily - Saudi Arabia;SAR;65;
5769;2.00501E+11;Mobily Data recharge 300 GB - 3 Months; Mobily - Saudi Arabia;SAR;525;
6373;2.003E+11;Mobily Card SAR 25; Mobily - Saudi Arabia;SAR;25;
6549;2.00501E+11;Mobily Data recharge 50 GB - 2 Months; Mobily - Saudi Arabia;SAR;250;
5946;2.00501E+11;Mobily Data recharge 10 GB - 1 Month; Mobily - Saudi Arabia;SAR;109.25;
5385;2.00501E+11;Mobily Data recharge 10 GB - 3 Months; Mobily - Saudi Arabia;SAR;200;
6374;2.003E+11;Mobily Card SAR 34.50; Mobily - Saudi Arabia;SAR;34.5;
6376;2.003E+11;Mobily Card SAR 115; Mobily - Saudi Arabia;SAR;115;
6378;2.00501E+11;Mobily Card SAR 395; Mobily - Saudi Arabia;SAR;395;
6375;2.003E+11;Mobily Card SAR 57.50; Mobily - Saudi Arabia;SAR;57.5;
5829;2.00501E+11;Mobily Data recharge 100 GB - 3 Months; Mobily - Saudi Arabia;SAR;375;
6377;2.003E+11;Mobily Card SAR 230; Mobily - Saudi Arabia;SAR;230;
6021;2.003E+11;Mobily Card SAR 20; Mobily - Saudi Arabia;SAR;20;
6356;2.00501E+11;Mobily Data recharge 20 GB - 3 Months; Mobily - Saudi Arabia;SAR;260;
5873;2.00501E+11;Mobily Data recharge 50 GB - 3 Months; Mobily - Saudi Arabia;SAR;310;
7045;6.28703E+12;Red Bull Recharge Card SAR 230; Red Bull Mobile;SAR;230;
7041;6.28703E+12;Red Bull Recharge Card SAR 17.25; Red Bull Mobile;SAR;17.25;
7191;6.28703E+12;Red Bull Data Recharge Card 100GB For 3 Months; Red Bull Mobile;SAR;253;
7235;6.28703E+12;Red Bull Recharge Card Mazaji 80; Red Bull Mobile;SAR;92;
7188;6.28703E+12;Red Bull Data Recharge Card 16GB; Red Bull Mobile;SAR;69;
7044;6.28703E+12;Red Bull Recharge Card SAR 115; Red Bull Mobile;SAR;115;
7197;6.28703E+12;Red Bull Recharge Card Mazaji 360; Red Bull Mobile;SAR;207;
7194;6.28703E+12;Red Bull Data Recharge Card 350GB For 3 Months; Red Bull Mobile;SAR;552;
7189;6.28703E+12;Red Bull Data Recharge Card 40GB; Red Bull Mobile;SAR;97.75;
7043;6.28703E+12;Red Bull Recharge Card SAR 57.5; Red Bull Mobile;SAR;57.5;
7192;6.28703E+12;Red Bull Data Recharge Card 160GB For 2 Months; Red Bull Mobile;SAR;241.5;
7042;6.28703E+12;Red Bull Recharge Card SAR 20 (Inc Exc VAT); Red Bull Mobile;SAR;20;
